size_ratio,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.695,0.5295636621527154,0.4704363378472847,0.15004021000185883,-12.04011532942902,-9.549496365613685,-12.569729875308848,-11.002704400309627,1.5467078454938865
1.7000000000000002,0.5305852605664565,0.46941473943354356,0.14855420450758844,-12.040184854863853,-9.55074609367886,-12.569382404262168,-11.006114686706782,1.5485954242026079
1.705,0.5315870276544861,0.4684129723455138,0.1473176612877767,-12.040272377690458,-9.552008757383454,-12.569021440160014,-11.009497880850287,1.5504354601487123
1.71,0.5325692583084477,0.4674307416915524,0.14622237797155954,-12.040377669576374,-9.553284345854685,-12.568646770986199,-11.01285416564986,1.5522281734207974
1.7149999999999999,0.5335322634976878,0.46646773650231227,0.14505385926984724,-12.040500476232463,-9.554572794949268,-12.56825821436199,-11.016183856296834,1.553973978163455
1.72,0.5344767266124731,0.46552327338752697,0.14381176661129633,-12.040640516159701,-9.55587398180556,-12.567855618581538,-11.019487410980256,1.5556734986115117
1.725,0.5354037838573353,0.4645962161426648,0.14260213310286293,-12.040797479534824,-9.557187719849715,-12.567438863610452,-11.022765439830827,1.557327582985073
1.73,0.5363132863722585,0.4636867136277414,0.14131769205611872,-12.04097102725163,-9.558513754304585,-12.567007862044301,-11.026018711951465,1.558937315056916
1.7349999999999999,0.5372053607635715,0.46279463923642833,0.14006426537095013,-12.041160790134429,-9.559851758248568,-12.566562560021962,-11.02924816041299,1.5605040232228502
1.74,0.5380804342228785,0.46191956577712145,0.13884108338439016,-12.04136636833965,-9.56120132926899,-12.566102938087289,-11.032454885114499,1.5620292869272883
1.745,0.538940264252446,0.46105973574755404,0.13764736156869609,-12.041587330960652,-9.56256198675145,-12.56562901199136,-11.035640153430531,1.5635149403200759
1.75,0.5397844867840371,0.4602155132159627,0.13648230072986364,-12.04182321584955,-9.563933169842487,-12.565140833426572,-11.038805398590496,1.5649630730463282
1.755,0.5406131690300678,0.4593868309699324,0.13534508735289436,-12.042073529668468,-9.565314236117965,-12.564638490683146,-11.041952215760451,1.5663760280989099
1.76,0.5414262215456537,0.4585737784543464,0.1342348940975442,-12.042337748180461,-9.566704460983917,-12.56412210921832,-11.045082355822347,1.567756396692609
1.7650000000000001,0.5422253703074905,0.45777462969250937,0.13315088044701706,-12.042615316788266,-9.568103037829946,-12.563591852128503,-11.048197716871966,1.5691070101505564
1.77,0.5430105193902467,0.4569894806097533,0.13209219351058357,-12.042905651326501,-9.569509078948192,-12.563047920514602,-11.051300333482706,1.5704309288253067
1.775,0.5437818243582485,0.45621817564175143,0.13105796897939295,-12.04320813910999,-9.570921617222764,-12.562490553731621,-11.054392363809123,1.5717314281112926
1.78,0.544539466467894,0.45546053353210625,0.13004733223286719,-12.043522140237982,-9.572339608586319,-12.56192002951405,-11.057476074630461,1.5730119816390362
1.7850000000000001,0.5452838145669517,0.4547161854330485,0.129059399591078,-12.043846989150724,-9.573761935231433,-12.561336663969549,-11.060553824460849,1.5742762417766671
1.79,0.5460166918729191,0.45398330812708065,0.12809327970644369,-12.044181996431504,-9.575187409555392,-12.560740811434583,-11.063628044878541,1.5755280175987239
1.795,0.5467371384182248,0.4532628615817753,0.12714807508602968,-12.04452645084395,-9.576614778807876,-12.560132864186652,-11.066701220251856,1.5767712505164815
1.8,0.5474453220570001,0.45255467794299986,0.12622288373372656,-12.044879621590928,-9.578042730401794,-12.559513252009122,-11.069775866063376,1.5780099877973348
1.8050000000000002,0.5481419561377677,0.4518580438622324,0.12521024065068917,-12.045240760778086,-9.579469897838816,-12.558882441605784,-11.07285450605683,1.5792483542324725
1.81,0.548828190143283,0.451171809856717,0.12432236978565667,-12.045609106062082,-9.58089486719281,-12.558240935863425,-11.075939648451884,1.5804905222415806
1.815,0.549504344440736,0.45049565555926374,0.12345179782733043,-12.04598388346049,-9.582316184086634,-12.55758927296191,-11.07903376149094,1.5817406807305403
1.82,0.5501699356235207,0.4498300643764791,0.12259762308258972,-12.046364310297898,-9.583732361091002,-12.556928025332091,-11.082139248598308,1.5830030030416395
1.8250000000000002,0.5508253712477682,0.449174628752232,0.12186546856468872,-12.046749598260547,-9.585141885468278,-12.556257798462859,-11.085258423445323,1.584281614355741
1.83,0.5514716811317936,0.44852831886820654,0.1210413934951947,-12.047138956529954,-9.586543227179476,-12.555579229559312,-11.088393485225026,1.585580558921449
1.835,0.5521096935401606,0.44789030645983935,0.1202310482106419,-12.047531594964806,-9.587934847069173,-12.554892986054595,-11.091546494445936,1.586903767496829
