model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,truth_norm,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_threshold_percent,fraction_phi_gt_one_percent,filename
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,13.973012279188808,0.5315615051668354,0.7930596427711073,0.9547257358883097,6.505213034913027e-19,-0.005249653574429047,-3.8823943137267993e-07,0.5074050747439044,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_353535_num_36.stat
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,13.992362119036713,0.3767890375346356,0.3100573053304012,0.48796056336042104,-7.250602028496811e-19,-0.0007261931132967222,-3.821493156060742e-07,0.5091098542366449,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_363636_num_37.stat
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,14.064538571547207,0.5037302965043988,0.43891775666347377,0.6681264915649672,6.301925127571995e-19,-0.0073110388072173925,-3.6627425588761333e-07,0.5121184368173903,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_383838_num_39.stat
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,14.127612610326192,0.5099476509085624,0.4314698416760724,0.6679916398751731,-1.311207002349657e-18,-0.002279699982709779,-3.5809979187211417e-07,0.5134508782923386,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_393939_num_40.stat
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,14.180824613446363,0.47864762101539043,0.3304893614241394,0.5816586310871931,-8.809142651444724e-20,-0.0036688832643700492,-3.4494253190076553e-07,0.5160539796840118,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_414141_num_42.stat
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,14.271671154838023,0.37781325883396694,0.6706387682926733,0.7697397067112094,2.642742795433417e-19,-0.001270917350959166,-3.403951599798792e-07,0.5185943295636182,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_434343_num_44.stat
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,14.311603392528514,0.48053746349896914,0.6246259462671506,0.7880823729637217,-2.5953089503871762e-18,0.0014921076319464647,-3.403965692363761e-07,0.5198195672514776,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_444444_num_45.stat
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,14.328437170385776,0.5687430779368575,0.16154828811941108,0.5912415226414678,-1.3637230450794235e-19,-0.008741617426389328,-3.4181223415620957e-07,0.5209842526367224,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_454545_num_46.stat
validation_selected_rank,6,frozen_nn,fitting,39,46,47,1.464646,14.332915229639472,0.6350969931847406,0.7322381539252268,0.9692888655174696,2.066760391300493e-18,-0.00430813268474206,-3.4444118729248243e-07,0.5220696651267226,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_464646_num_47.stat
validation_selected_rank,6,frozen_nn,fitting,40,47,48,1.474747,14.43970357930931,0.510788693003325,0.7099019692054823,0.8745661180161405,-4.472333961502706e-18,0.0005260108974312368,-3.4800886472419465e-07,0.5230791843383199,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_474747_num_48.stat
validation_selected_rank,6,frozen_nn,fitting,41,48,49,1.484848,14.45919299466417,0.49425699273120693,0.7347339245858636,0.8855077158336812,-5.834362940687621e-18,-0.004763436854911715,-3.5218884683507785e-07,0.5240157487802558,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_484848_num_49.stat
validation_selected_rank,6,frozen_nn,fitting,42,49,50,1.494949,14.496522732812947,0.45923336837382656,0.6207412127004768,0.7721495579049429,-3.0357660829594124e-18,-0.0015263488603259692,-3.566237470518171e-07,0.5248819902244246,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_494949_num_50.stat
validation_selected_rank,6,frozen_nn,fitting,43,50,51,1.505051,14.437176438141057,0.6805827051493069,0.7523939165743024,1.014539020563719,2.3649159887340065e-18,0.0015535301294617432,-3.609448653072983e-07,0.5257612518620612,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_505051_num_51.stat
validation_selected_rank,6,frozen_nn,fitting,44,52,53,1.525253,14.490636987618782,0.6329719952024632,0.6308742948896751,0.8936755130712619,5.129631528572043e-18,0.002898412913475565,-3.6780788396563223e-07,0.5273260027811077,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_525253_num_53.stat
