model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,1,13.992508553246099,-13.982663484232704,-14.039715271970966,0.057051787738261694,0.4077309477507973,0.008942630728943425,0.06391013230339487,6.379754399743887,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,2,13.992508553246099,-0.23294164722531308,-0.1561362877235431,0.07680535950176998,0.5489034307858403,0.019500375512431917,0.13936297010808726,3.9386605377319466,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,3,13.992508553246099,-0.4647726686816865,-0.49670184799825834,0.031929179316571854,0.22818767053149064,0.023938783167702714,0.17108285534797257,1.3337845575897724,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,4,13.992508553246099,0.011107823195160363,0.01946666975711102,0.008358846561950656,0.05973801288126782,0.019225060096610146,0.13739537855883716,0.43478909922495,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,5,13.992508553246099,-0.028132536045785354,0.03618868028541309,0.06432121633119844,0.4596832375441119,0.02002243132959704,0.14309393668336956,3.212457831538131,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,6,13.992508553246099,-0.021396810614431626,-0.0011651926991126278,0.020231617915318998,0.14458892655545671,0.02716003729534093,0.1941041321646369,0.7449039077273122,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,7,13.992508553246099,0.033407175851669066,-0.0011950523745106467,0.03460222822617971,0.24729109933724072,0.02463347471292645,0.1760475944623366,1.4046832056551952,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,8,13.992508553246099,-0.002414579921048417,0.0014292032497790624,0.0038437831708274793,0.027470293523142186,0.013434433826668868,0.09601161775636174,0.28611426580531707,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,9,13.992508553246099,-0.01413432035541916,0.009669982548267477,0.02380430290368664,0.17012176775239002,0.020984913107100742,0.14997248725806558,1.1343531794578596,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,10,13.992508553246099,-0.011382535544936664,0.0019839433004284895,0.013366478845365154,0.09552596515843677,0.015832228782441286,0.11314789426209351,0.8442575602614606,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,inverse_sqrt_sensitivity,1.375,6,11,13.992508553246099,0.004815470060456337,-0.0066510672927419575,0.011466537353198294,0.08194768871903381,0.014061566496944133,0.10049353511870475,0.8154523434988704,True,True,False
